Model Year,Regulatory Class,Vehicle Type,Production Share (%),Adjusted MPG,Adjusted MPG_City,Adjusted MPG_Hwy,Adjusted CO2 (g/mi),Adjusted CO2_City (g/mi),Adjusted CO2_Hwy (g/mi),Weight (lbs),Horsepower (hp),Footprint (sq. ft.)
"1996","Car","All Car","62.2","23.1","19.7","27.6","384","452","322","3297","155","-"
"1996","Car","Car SUV","2.2","18.4","16.2","21.1","482","548","421","3710","167","-"
"1996","Car","Sedan/Wagon","60","23.3","19.8","28","381","448","318","3282","154","-"
"1996","Truck","All Truck","37.8","17.2","15","19.8","518","592","449","4255","179","-"
"1996","Truck","Pickup","14.9","17.1","15.1","19.7","518","590","452","4190","178","-"
"1996","Truck","Truck SUV","12.2","16.2","14.2","18.7","548","625","475","4386","189","-"
"1996","Truck","Van","10.7","18.3","15.9","21.4","485","558","416","4195","171","-"
"1997","All","All","100","20.2","17.4","23.6","441","512","376","3727","169","-"
"1997","Car","All Car","60.1","23.2","19.7","27.6","384","452","322","3285","156","-"
"1997","Car","Car SUV","2.5","19.2","17.1","21.7","462","521","409","3549","159","-"
"1997","Car","Sedan/Wagon","57.6","23.4","19.8","28","380","449","318","3274","156","-"
"1997","Truck","All Truck","39.9","16.8","14.7","19.4","528","603","459","4394","189","-"
"1997","Truck","Pickup","16.7","16.8","14.7","19.4","528","604","458","4415","196","-"
"1997","Truck","Truck SUV","14.5","16.1","14.2","18.4","551","626","483","4463","190","-"
"1997","Truck","Van","8.8","18.2","15.7","21.2","489","565","420","4240","174","-"
"1998","All","All","100","20.1","17.2","23.6","442","516","377","3744","171","-"
"1998","Car","All Car","58.3","23","19.5","27.5","386","456","324","3334","160","-"
"1998","Car","Car SUV","3.1","18.2","16","20.8","487","556","427","3824","168","-"
"1998","Car","Sedan/Wagon","55.1","23.4","19.7","28","380","450","318","3306","159","-"
"1998","Truck","All Truck","41.7","17.1","14.8","19.7","521","599","451","4317","188","-"
"1998","Truck","Pickup","16.7","17","14.8","19.6","523","601","454","4282","190","-"
"1998","Truck","Truck SUV","14.7","16.2","14.1","18.5","550","629","479","4450","192","-"
"1998","Truck","Van","10.3","18.7","16","22","475","555","405","4183","180","-"
"1999","All","All","100","19.7","16.9","23","451","527","386","3835","179","-"
"1999","Car","All Car","58.3","22.7","19.2","27","392","464","329","3390","164","-"
"1999","Car","Car SUV","3.2","18.5","16.3","21","480","546","423","3831","170","-"
"1999","Car","Sedan/Wagon","55.1","23","19.4","27.5","386","459","323","3365","164","-"
"1999","Truck","All Truck","41.7","16.6","14.5","19.1","535","615","465","4457","199","-"
